fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-03-21,WN,WN,WN,2023,WN,N7702A,2023,12892,LAX,"Los Angeles, CA",14831,SJC,"San Jose, CA",1730,1740.0,10.0,14.0,1754.0,1846.0,2.0,1840,1848.0,8.0,0.0,,0.0,N,70.0,68.0,52.0,1.0,308.0,,,,,,,,,
2019-06-19,UA,UA_CODESHARE,UA,3710,YX,N646RW,3710,13930,ORD,"Chicago, IL",13487,MSP,"Minneapolis, MN",1255,1252.0,-3.0,40.0,1332.0,1432.0,6.0,1432,1438.0,6.0,0.0,,0.0,N,97.0,106.0,60.0,1.0,334.0,,,,,,,,,
2018-10-02,AA,AA_CODESHARE,AA,5334,OH,N512AE,5334,11057,CLT,"Charlotte, NC",14986,SRQ,"Sarasota/Bradenton, FL",729,724.0,-5.0,22.0,746.0,906.0,2.0,912,908.0,-4.0,0.0,,0.0,N,103.0,104.0,80.0,1.0,547.0,,,,,,,,,
2019-06-10,AA,AA,AA,1525,AA,N753US,1525,11298,DFW,"Dallas/Fort Worth, TX",11540,ELP,"El Paso, TX",2024,2310.0,166.0,19.0,2329.0,2353.0,3.0,2101,2356.0,175.0,0.0,,0.0,N,97.0,106.0,84.0,1.0,551.0,166.0,0.0,9.0,0.0,0.0,,,,
2019-03-06,UA,UA_CODESHARE,UA,5460,OO,N161SY,5460,12892,LAX,"Los Angeles, CA",12441,JAC,"Jackson, WY",1315,1308.0,-7.0,22.0,1330.0,1910.0,6.0,1654,1916.0,,0.0,,1.0,N,159.0,,,1.0,784.0,,,,,,,,,
2018-04-17,UA,UA,UA,444,UA,N405UA,444,12889,LAS,"Las Vegas, NV",12892,LAX,"Los Angeles, CA",800,756.0,-4.0,14.0,810.0,853.0,7.0,914,900.0,-14.0,0.0,,0.0,N,74.0,64.0,43.0,1.0,236.0,,,,,,,,,
2018-07-30,AA,AA_CODESHARE,AA,2881,EV,N613QX,2881,14814,SHV,"Shreveport, LA",11298,DFW,"Dallas/Fort Worth, TX",1822,1839.0,17.0,14.0,1853.0,1934.0,11.0,1931,1945.0,14.0,0.0,,0.0,N,69.0,66.0,41.0,1.0,190.0,,,,,,,,,
2018-09-24,AS,AS,AS,1717,AS,N521VA,1717,11259,DAL,"Dallas, TX",14771,SFO,"San Francisco, CA",1725,1717.0,-8.0,12.0,1729.0,1853.0,4.0,1910,1857.0,-13.0,0.0,,0.0,N,225.0,220.0,204.0,1.0,1476.0,,,,,,,,,
2019-05-02,AA,AA_CODESHARE,AA,5687,OH,N710PS,5687,14100,PHL,"Philadelphia, PA",11267,DAY,"Dayton, OH",1924,1918.0,-6.0,15.0,1933.0,2045.0,3.0,2109,2048.0,-21.0,0.0,,0.0,N,105.0,90.0,72.0,1.0,477.0,,,,,,,,,
2018-07-31,AA,AA_CODESHARE,AA,5089,OH,N244PS,5089,11057,CLT,"Charlotte, NC",15412,TYS,"Knoxville, TN",1848,1936.0,48.0,20.0,1956.0,2031.0,4.0,1952,2035.0,43.0,0.0,,0.0,N,64.0,59.0,35.0,1.0,177.0,0.0,11.0,0.0,0.0,32.0,,,,
